file,model,code_box,status,numeric_error,cli_speedup,first_fit_speedup,stanli_median_s,stanli_min_s,stanli_max_s,cmdstan_median_s,cmdstan_min_s,cmdstan_max_s,cmdstan_compile_s,stanli_first_fit_s,cmdstan_first_fit_s,stanli_rhat_max,cmdstan_rhat_max,stanli_ess_bulk_min,cmdstan_ess_bulk_min,stanli_divergences,cmdstan_divergences,failure_reason,log_density_max_absolute,log_density_max_ulp,log_density_count,gradient_max_absolute,gradient_max_ulp,gradient_count,outputs_max_absolute,outputs_max_ulp,outputs_count
ch13_m13_1,m13.1,13.2,ok,0.0,1.4912993347007393,60.75224049362652,0.050330145500083745,0.04667820800023037,0.05627287500010425,0.0750573124996663,0.0686168340007498,0.2884431669999685,2.982611791000636,0.050330145500083745,3.0576691035003023,1.00436394096501,1.0035403845110455,4602.9336882315365,4598.02987032732,0,0,,0,0,3,0,0,144,0,0,432
ch13_m13_2,m13.2,13.3,ok,0.0,1.4921914544576247,55.60598297846833,0.05859093699973528,0.056094834000759874,0.06135408299996925,0.08742889549967003,0.08219395800006168,0.2838332500004981,3.1705777500001204,0.05859093699973528,3.2580066454997905,1.0031188240020086,1.0045803676121066,2006.4939305041516,2317.4743677412343,0,0,,0,0,3,0,0,150,0,0,438
ch13_m13_3,m13.3,13.13,ok,0.0,1.121868331487303,42.44654779754323,0.0729217704997609,0.06058670899983554,0.07919874999970489,0.08180862499966679,0.07621729200036498,0.28946600000017497,3.0134687919999124,0.0729217704997609,3.095277416999579,1.0042096380072383,1.0041098656672274,1551.753157625901,1479.556572572004,0,0,,0,0,3,0,0,186,0,0,186
ch13_m13_4,m13.4,13.21,ok,7.69e-15,1.608905186500343,8.735735240121102,0.4901417505002428,0.42304650000005495,0.6160967089999758,0.7885916045001977,0.6886752919999708,1.0867932080000173,3.4931569579994175,0.4901417505002428,4.281748562499615,1.0091162434188812,1.010056822095218,448.13910457021154,301.0951653561993,17,24,,0,0,3,2.842170943040401e-14,36,60,0,0,3084
ch13_m13_5,m13.5,13.23,ok,7.18e-15,1.7931959724970312,15.472642113168053,0.26041139600010865,0.24904245900052047,0.26358875000005355,0.46696866649972435,0.44180395799958205,0.6616555000000517,3.5622836660004396,0.26041139600010865,4.029252332500164,1.0045573585068623,1.0058453639931775,981.5595799299207,1108.082679712537,0,0,,0,0,3,4.973799150320701e-14,44,39,0,0,3063
ch13_m13_6,m13.6,13.25,ok,4.36e-15,2.1915863565693723,8.356351095592336,0.7928011040003184,0.6685344580000674,3.2223737909998817,1.7374920830002338,1.667807666999579,2.050399292000293,4.887432290999641,0.7928011040003184,6.624924373999875,1.0143727318064035,1.0089599065884678,375.1211224894047,405.95119900519836,5,20,,0,0,3,2.842170943040401e-14,36,63,0,0,3087
ch13_m13_7,m13.7,13.26,ok,0.0,1.31592761719963,138.05100165018095,0.02786918749961842,0.02058125000075961,0.035065250000116066,0.03667383349966258,0.032115999999405176,0.31544079200011765,3.810695415999362,0.02786918749961842,3.8473692494990246,1.1286177914976072,1.1372024317789207,26.634840993854688,35.49418323516736,685,492,,0,0,3,0,0,6,0,0,6
ch13_m13_7nc,m13.7nc,13.27,ok,0.0,1.2764381710639938,207.63688021501366,0.018579500000214466,0.017212042000210204,0.023284124999918276,0.023715582999557228,0.02339583400043921,0.20760441699985677,3.8340738329998203,0.018579500000214466,3.8577894159993775,1.0016737600586199,1.0008910787183636,3561.081109301175,3760.6442953961546,0,0,,0,0,3,0,0,6,0,0,9
ch13_m13_4b,m13.4b,13.28,ok,7.69e-15,1.4714129053041238,9.429463507965002,0.42139058300017496,0.35517787499975384,0.5661642920003942,0.6200395420000859,0.5423522920000323,0.9288699999997334,3.353447583000161,0.42139058300017496,3.973487125000247,1.0091162434188812,1.010056822095218,448.13910457021154,301.0951653561993,17,24,,0,0,3,2.842170943040401e-14,36,60,0,0,60
ch13_m13_4nc,m13.4nc,13.29,ok,4.05e-15,2.6169690295071173,6.881663379102204,0.780982541999947,0.7630227919999015,0.8171322499993039,2.043807124999603,1.9959492920006596,2.1472575420002613,3.330651833999582,0.780982541999947,5.374458958999185,1.0060885637648906,1.006946592795747,1034.4698857004569,896.0075955287742,0,0,,0,0,3,2.930988785010413e-14,58,60,5.551115123125783e-17,1,99
ch14_m14_1,m14.1,14.12,ok,7.57e-16,1.4000624930638472,29.349978641078152,0.3671767499999987,0.35613904199999524,0.3808817499993893,0.5140703960000792,0.47965695800030517,0.7571837080004116,10.262559374000375,0.3671767499999987,10.776629770000454,1.0033392452246757,1.0030315016478246,3506.0789298369564,3527.217787785688,0,0,,0,0,3,1.0658141036401503e-14,6,138,0,0,147
ch14_m14_2,m14.2,14.18,ok,1.24e-15,1.463838299092428,4.894910789081687,3.2235857710002165,2.734647125000265,3.9245627909995164,4.71880831199951,4.288902207999854,5.601446790999944,11.06035645799966,3.2235857710002165,15.77916476999917,1.018705536449619,1.0142582163879355,293.3224887048602,228.9669637243334,118,87,,5.684341886080802e-14,1,3,1.0658141036401503e-14,297,228,0,0,288
ch14_m14_3,m14.3,14.19,ok,1.28e-15,1.7591272227931471,8.955867730997783,1.2822373125000013,1.2593523750001623,1.3255643749998853,2.255618562499876,2.174828957999125,2.480527833000451,9.227929208000205,1.2822373125000013,11.483547770500081,1.0033884522937826,1.0049399279106745,1746.352806694112,1657.3316874804082,0,0,,5.684341886080802e-14,1,3,1.0658141036401503e-14,316,228,0,0,3564
ch14_m14_4,m14.4,14.24,ok,3.33e-15,2.6021729019993636,101.69910834647546,0.0458258124999702,0.04305500000009488,0.058685582999714825,0.11924668749952616,0.09918891699999222,0.2904495839993615,4.541197583000212,0.0458258124999702,4.660444270499738,1.0005581036723183,1.000654112329876,3343.135843335365,3272.627960008472,0,0,,0,0,3,1.4210854715202004e-13,3588805953060864,9,0,0,9
ch14_m14_5,m14.5,14.25,ok,3.33e-15,3.306215274736341,64.74844928246603,0.051455625500238966,0.05041283300033683,0.05301591599982203,0.17012337500000285,0.1669509579996884,0.341198582999823,3.161548582999785,0.051455625500238966,3.331671957999788,1.002907893881233,1.0003515110713546,3407.821350651682,3419.9312936733036,0,0,,0,0,3,8.526512829121202e-14,3588805953060864,12,0,0,12
